"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"19-00023023","2019 Mar 12 07:25:41 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6801 FLORAL PARK RD","38.70603288","-76.88942747","(38.70603288, -76.88942747)","County Address"
"19-00023022","2019 Mar 12 07:22:55 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WEDGEWOOD DR & WINDERMERE TURN",,,,"County Address"
"19-00023021","2019 Mar 12 07:21:31 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PISCATAWAY RD & FLORAL PARK RD",,,,"County Address"
"19-00023014","2019 Mar 12 04:17:28 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2663 RITCHIE MARLBORO RD",,,,"County Address"
"19-00023011","2019 Mar 11 10:20:36 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9001 BRAE BROOKE DR","38.98750057","-76.84926449","(38.98750057, -76.84926449)","County Address"
"19-00022998","2019 Mar 11 06:29:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","301 WATKINS PARK DR","38.89217229","-76.7872146","(38.89217229, -76.7872146)","County Address"
"19-00022997","2019 Mar 11 06:27:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10701 LIVINGSTON RD","38.74350704","-77.00110708","(38.74350704, -77.00110708)","County Address"
"19-00022990","2019 Mar 11 06:19:44 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FORT FOOTE RD & POTOMAC VALLEY DR",,,,"County Address"
"19-00022986","2019 Mar 11 06:07:41 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3437 BRANCH AVE",,,,"County Address"
"19-00022972","2019 Mar 11 05:42:22 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1900 PALMER RD","38.77167249","-76.97864701","(38.77167249, -76.97864701)","County Address"
"19-00022969","2019 Mar 11 05:38:54 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9100 FORT FOOTE RD","38.76463055","-77.02462382","(38.76463055, -77.02462382)","County Address"
"19-00022967","2019 Mar 11 05:36:06 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9100 OXON HILL RD","38.76486274","-77.00498264","(38.76486274, -77.00498264)","County Address"
"19-00022965","2019 Mar 11 05:35:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4815 WOODLAWN DR","38.94750432","-76.89680349","(38.94750432, -76.89680349)","County Address"
"19-00022961","2019 Mar 11 05:32:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LARCHMONT AVE & MARLBORO PIKE",,,,"County Address"
"19-00022956","2019 Mar 11 05:24:49 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12010 BRANDYWINE RD","38.72486022","-76.89564241","    (38.72486022, -76.89564241)","County Address"
"19-00022954","2019 Mar 11 05:20:14 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4938 MARLBORO PIKE","38.87196652","-76.92394444","(38.87196652, -76.92394444)","County Address"
"19-00022947","2019 Mar 11 05:16:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9110 BRANDYWINE RD","38.76495973","-76.8972108","(38.76495973, -76.8972108)","County Address"
"19-00022946","2019 Mar 11 05:15:49 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3400 REGENCY PKY",,,,"County Address"
"19-00022939","2019 Mar 11 05:04:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OGLE LN & WALKER MILL RD",,,,"County Address"
"19-00022930","2019 Mar 11 04:49:04 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALKER MILL RD & BEECHNUT RD",,,,"County Address"
"19-00022921","2019 Mar 11 04:34:05 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","3000 DUNCAN DR","39.02171736","-76.95670301","(39.02171736, -76.95670301)","County Address"
"19-00022917","2019 Mar 11 04:27:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PIN OAK ST & PIN OAK CT",,,,"County Address"
"19-00022916","2019 Mar 11 04:25:28 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1400 NOVA AVE",,,,"County Address"
"19-00022915","2019 Mar 11 04:25:15 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","EDMONSTON RD & COCHRAN RD",,,,"County Address"
"19-00022909","2019 Mar 11 04:19:52 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DAYTON RD & RIGGS RD",,,,"County Address"
"19-00022900","2019 Mar 11 04:12:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2300 BROOKS DR","38.85912104","-76.919062","(38.85912104, -76.919062)","Suitland / Coral Hills"
"19-00022879","2019 Mar 11 03:39:54 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LOTTSFORD VISTA RD & LOTTSFORD RD",,,,"County Address"
"19-00022868","2019 Mar 11 03:28:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13310 NEW ACADIA LN","38.89983248","-76.77443834","(38.89983248, -76.77443834)","County Address"
"19-00022861","2019 Mar 11 03:26:38 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CAMERON GROVE BLVD & FOX BOW DR",,,,"County Address"
"19-00022854","2019 Mar 11 03:22:03 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5115 WILKINS DR","38.8054068","-76.91787593","(38.8054068, -76.91787593)","County Address"
"19-00022851","2019 Mar 11 03:17:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6600 CENTRAL AVE","38.88785484","-76.89314022","(38.88785484, -76.89314022)","County Address"
"19-00022846","2019 Mar 11 03:07:24 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5001 BEECH RD","38.82369714","-76.93119969","(38.82369714, -76.93119969)","Silver Hill"
"19-00022844","2019 Mar 11 03:05:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LEWISDALE DR & FORDHAM ST",,,,"County Address"
"19-00022798","2019 Mar 11 02:32:49 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SURREY SERVICE DR & REGENCY PKY",,,,"County Address"
"19-00022788","2019 Mar 11 02:15:35 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2001 WOODVALE LN","38.9169315","-76.79296023","(38.9169315, -76.79296023)","County Address"
"19-00022785","2019 Mar 11 02:10:07 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BELCREST RD & TOLEDO TER",,,,"County Address"
"19-00022768","2019 Mar 11 01:49:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & ALLENTOWN RD",,,,"County Address"
"19-00022765","2019 Mar 11 01:47:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & ALLENTOWN RD",,,,"County Address"
"19-00022764","2019 Mar 11 01:45:32 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5800 LIVINGSTON RD","38.80951814","-76.99097414","(38.80951814, -76.99097414)","Oxon Hill / Glassmanor"
"19-00022757","2019 Mar 11 01:25:02 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANCH AVE & AUTH RD",,,,"County Address"
"19-00022743","2019 Mar 11 12:57:17 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5548 AUTH WAY","38.83124603","-76.91026159","(38.83124603, -76.91026159)","County Address"
"19-00022732","2019 Mar 11 12:41:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SAINT BARNABAS RD & WILKINSON DR",,,,"County Address"
"19-00022730","2019 Mar 11 12:39:24 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2404 SHERIDAN ST","38.96917581","-76.97058753","(38.96917581, -76.97058753)","County Address"
"19-00022719","2019 Mar 11 12:18:44 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CLAXTON DR & CONTEE RD",,,,"County Address"
"19-00022704","2019 Mar 11 11:42:00 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LETCHER RD E & BADEN NAYLOR RD",,,,"County Address"
"19-00022694","2019 Mar 11 11:26:24 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10211 FORESTGROVE LN","38.93691969","-76.82849493","(38.93691969, -76.82849493)","County Address"
"19-00022676","2019 Mar 11 11:10:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FORESTVILLE RD & ALLENTOWN RD",,,,"County Address"
"19-00022672","2019 Mar 11 11:08:46 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5151 ALLENTOWN RD","38.81354519","-76.89599049","(38.81354519, -76.89599049)","County Address"
"19-00022655","2019 Mar 11 10:49:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SOUTHERN AVE & BRANCH AVE",,,,"County Address"
"19-00022643","2019 Mar 11 10:38:26 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & PISCATAWAY RD",,,,"County Address"
"19-00022642","2019 Mar 11 10:37:46 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6710 LAMONT DR","38.97626108","-76.8828078","(38.97626108, -76.8828078)","County Address"
"19-00022638","2019 Mar 11 10:32:46 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & BRINKLEY RD",,,,"County Address"
"19-00022636","2019 Mar 11 10:30:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHURCH RD S & MARY BOWIE PKY",,,,"County Address"
"19-00022634","2019 Mar 11 10:24:15 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TOR BRYAN RD & BENTWOOD DR",,,,"County Address"
"19-00022631","2019 Mar 11 10:22:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","314 BENTWOOD DR","38.76567185","-77.00253217","(38.76567185, -77.00253217)","County Address"
"19-00022630","2019 Mar 11 10:21:53 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1500 WHISTLING DUCK DR","38.86989823","-76.76981495","(38.86989823, -76.76981495)","County Address"
"19-00022620","2019 Mar 11 10:12:12 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2402 KEATING ST","38.83418643","-76.95494788","(38.83418643, -76.95494788)","Hillcrest Heights / Marlow Heights"
"19-00022603","2019 Mar 11 09:46:50 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6608 CLINTON MANOR DR","38.76142869","-76.89276161","(38.76142869, -76.89276161)","County Address"
"19-00022602","2019 Mar 11 09:45:48 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PISCATAWAY RD & TEMPLE HILL RD",,,,"County Address"
"19-00022571","2019 Mar 11 09:04:38 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13500 MOLLY BERRY RD","38.70410334","-76.76435933","    (38.70410334, -76.76435933)","County Address"
"19-00022556","2019 Mar 11 08:25:23 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8105 WOODYARD RD","38.77893618","-76.85938","(38.77893618, -76.85938)","County Address"
"19-00022552","2019 Mar 11 08:21:22 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","10101 BRIGHTFIELD LN","38.78588043","-76.83240859","(38.78588043, -76.83240859)","County Address"
"19-00022543","2019 Mar 11 08:00:54 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5600 ALLENTOWN RD",,,,"County Address"
"19-00022539","2019 Mar 11 07:50:20 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4700 TEMPLE HILL RD",,,,"County Address"
"19-00022534","2019 Mar 11 07:34:24 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MEADOWVIEW DR & SUITLAND RD",,,,"County Address"
"19-00022529","2019 Mar 11 07:24:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4029 28TH AVE","38.83455277","-76.94817941","(38.83455277, -76.94817941)","Hillcrest Heights / Marlow Heights"
"19-00022523","2019 Mar 10 07:51:54 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","4215 BRANDON LN","39.04346694","-76.92213316","(39.04346694, -76.92213316)","County Address"
"19-00022519","2019 Mar 10 03:57:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11300 PENNY AVE","38.73599402","-76.89819545","(38.73599402, -76.89819545)","County Address"
"19-00022512","2019 Mar 10 11:52:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","700 EUCLA DR","38.66749986","-76.9969779","(38.66749986, -76.9969779)","County Address"
"19-00022511","2019 Mar 10 11:50:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16912 BEALLE HILL RD","38.65606425","-76.99661183","(38.65606425, -76.99661183)","County Address"
"19-00022501","2019 Mar 09 09:40:56 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANCH AVE & NAYLOR RD",,,,"County Address"
"19-00022481","2019 Mar 09 04:16:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6149 ODELL RD","39.04619345","-76.8739086","(39.04619345, -76.8739086)","County Address"
"19-00022463","2019 Mar 09 10:27:18 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12800 MARTIN RD",,,,"County Address"
"19-00022457","2019 Mar 09 07:52:43 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7208 WOOD MEADOW WAY","38.98865764","-76.8362826","(38.98865764, -76.8362826)","County Address"
"19-00022455","2019 Mar 08 10:19:15 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ENTERPRISE RD & WAESCHE DR",,,,"County Address"
"19-00022452","2019 Mar 08 08:48:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15615 LIVINGSTON RD","38.67059332","-76.99500171","(38.67059332, -76.99500171)","County Address"
"19-00022451","2019 Mar 08 08:46:34 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1401 FARMINGTON RD","38.68641158","-76.98386326","(38.68641158, -76.98386326)","County Address"
"19-00022430","2019 Mar 08 05:16:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GOOD LUCK RD & CIPRIANO RD",,,,"County Address"
"19-00022381","2019 Mar 08 03:26:00 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RITCHIE DR & RITCHIE RD",,,,"County Address"
"19-00022380","2019 Mar 08 03:24:52 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","11600 MAPLE AVE","39.04443603","-76.90092946","(39.04443603, -76.90092946)","County Address"
"19-00022378","2019 Mar 08 03:23:28 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","11519 MAPLE AVE",,,,"County Address"
"19-00022376","2019 Mar 08 03:22:08 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & CYPRESS RD",,,,"County Address"
"19-00022375","2019 Mar 08 03:21:30 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8400 ALLENTOWN RD","38.77475081","-76.94955845","(38.77475081, -76.94955845)","County Address"
"19-00022372","2019 Mar 08 03:20:42 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","11530 MAPLE AVE","39.0440547","-76.90198408","(39.0440547, -76.90198408)","County Address"
"19-00022359","2019 Mar 08 03:10:22 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","649 READING TER",,,,"County Address"
"19-00022357","2019 Mar 08 03:07:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9420 TEMPLE HILL RD","38.76194402","-76.92100766","(38.76194402, -76.92100766)","County Address"
"19-00022354","2019 Mar 08 03:06:20 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","608 READING TER",,,,"County Address"
"19-00022337","2019 Mar 08 02:44:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","105 ROBERT CRAIN HWY",,,,"County Address"
"19-00022327","2019 Mar 08 02:33:30 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BALFOUR DR & SARGENT RD",,,,"County Address"
"19-00022319","2019 Mar 08 02:15:16 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","CROOM RD & CROOM STATION RD",,,,"County Address"
"19-00022292","2019 Mar 08 01:15:17 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","44 YOST PL","38.88850467","-76.90411129","(38.88850467, -76.90411129)","County Address"
"19-00022272","2019 Mar 08 12:29:30 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOODMORE RD & PARKSIDE DR",,,,"County Address"
"19-00022265","2019 Mar 08 12:01:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SPRINGFIELD RD & POWDER MILL RD",,,,"County Address"
"19-00022260","2019 Mar 08 11:51:41 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","14505 DUCKETT RD","38.69098302","-76.90552675","    (38.69098302, -76.90552675)","County Address"
"19-00022257","2019 Mar 08 11:47:09 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","381 LARGO RD",,,,"County Address"
"19-00022228","2019 Mar 08 11:05:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD MARLBORO PIKE & MELWOOD PARK AVE",,,,"County Address"
"19-00022200","2019 Mar 08 10:27:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SURREY SERVICE DR & REGENCY PKY",,,,"County Address"
"19-00022189","2019 Mar 08 10:14:51 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","EDWARDS WAY & ADELPHI RD",,,,"County Address"
"19-00022188","2019 Mar 08 10:14:16 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","45 YOST PL","38.88865599","-76.90325023","(38.88865599, -76.90325023)","County Address"
"19-00022175","2019 Mar 08 09:56:48 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHERRY HILL RD & POWDER MILL RD",,,,"County Address"
"19-00022167","2019 Mar 08 09:45:59 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9200 EDWARDS WAY","39.00508091","-76.9731955","(39.00508091, -76.9731955)","County Address"
"19-00022149","2019 Mar 08 09:27:33 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","57TH AVE & ANNAPOLIS RD",,,,"County Address"
"19-00022138","2019 Mar 08 09:08:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6705 TEMPLE HILL RD","38.79776837","-76.9279984","(38.79776837, -76.9279984)","County Address"
"19-00022092","2019 Mar 08 08:04:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1376 PERIMETER RD",,,,"County Address"
"19-00022088","2019 Mar 08 07:58:38 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3791 MEADOWVIEW DR","38.83793432","-76.91531612","(38.83793432, -76.91531612)","Silver Hill"
"19-00022084","2019 Mar 08 07:44:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12610 LUSBYS LN","38.71654538","-76.85999105","    (38.71654538, -76.85999105)","County Address"
"19-00022068","2019 Mar 07 08:19:36 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & ALLENTOWN RD",,,,"County Address"
"19-00022066","2019 Mar 07 07:50:08 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CREST PARK DR & GOOD LUCK RD",,,,"County Address"
"19-00022065","2019 Mar 07 07:32:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD BRANCH AVE & WOODLAND LN",,,,"County Address"
"19-00022060","2019 Mar 07 06:57:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TEMPLE HILL RD & ALLENTOWN RD",,,,"County Address"
"19-00022059","2019 Mar 07 06:52:24 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6104 SEAT PLEASANT DR","38.89743707","-76.90152551","(38.89743707, -76.90152551)","County Address"
"19-00022055","2019 Mar 07 06:31:22 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","HANOVER PKY & GOOD LUCK RD",,,,"County Address"
"19-00022047","2019 Mar 07 06:13:54 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7701 CANBERRA PL","38.76999195","-76.8743961","(38.76999195, -76.8743961)","County Address"
"19-00022036","2019 Mar 07 05:26:53 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","N KEYS RD & MOLLY BERRY RD",,,,"County Address"
"19-00022030","2019 Mar 07 05:10:02 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SPRINGFIELD RD & POWDER MILL RD",,,,"County Address"
"19-00022027","2019 Mar 07 05:01:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TUSCANY DR & MUIRKIRK RD",,,,"County Address"
"19-00022016","2019 Mar 07 04:44:53 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SOUTHERN AVE & CENTRAL AVE SE",,,,"County Address"
"19-00021979","2019 Mar 07 03:44:59 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4700 CHERRY HILL RD","39.01681271","-76.92986949","(39.01681271, -76.92986949)","County Address"
"19-00021978","2019 Mar 07 03:41:49 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","3212 DALEWOOD RD","38.77253139","-76.95260676","(38.77253139, -76.95260676)","County Address"
"19-00021950","2019 Mar 07 03:02:32 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4020 SUIT RD","38.83467166","-76.87711542","(38.83467166, -76.87711542)","County Address"
"19-00021942","2019 Mar 07 02:46:28 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","8203 WILLOW ST","39.07913741","-76.8646466","(39.07913741, -76.8646466)","County Address"
"19-00021930","2019 Mar 07 02:33:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6703 TEMPLE HILL RD","38.79800107","-76.92792771","(38.79800107, -76.92792771)","County Address"
"19-00021905","2019 Mar 07 02:19:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7515 WALTONS WAY","38.95604665","-76.88623388","    (38.95604665, -76.88623388)","County Address"
"19-00021881","2019 Mar 07 01:34:34 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","INVERNESS LN & SURREY CIRCLE DR",,,,"County Address"
"19-00021878","2019 Mar 07 01:31:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MCKENDREE RD & ACCOKEEK RD",,,,"County Address"
"19-00021864","2019 Mar 07 12:54:50 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GOOD LUCK RD & HANOVER PKY",,,,"County Address"
"19-00021860","2019 Mar 07 12:51:33 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHELTENHAM AVE & DANGERFIELD PL",,,,"County Address"
"19-00021853","2019 Mar 07 12:36:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MONTPELIER DR & CEDARBROOK LN",,,,"County Address"
"19-00021851","2019 Mar 07 12:34:52 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FLORAL PARK RD & S SPRINGFIELD RD",,,,"County Address"
"19-00021850","2019 Mar 07 12:33:27 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","14103 SPRINGFIELD RD",,,,"County Address"
"19-00021838","2019 Mar 07 12:04:30 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10252 LAKE ARBOR WAY",,,,"County Address"
"19-00021831","2019 Mar 07 12:00:57 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10604 CAMPUS WAY","38.89830311","-76.82324298","(38.89830311, -76.82324298)","County Address"
"19-00021820","2019 Mar 07 11:56:16 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","11626 34TH PL","39.05056389","-76.92317187","(39.05056389, -76.92317187)","County Address"
"19-00021752","2019 Mar 07 10:52:37 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6121 KENILWORTH AVE","38.96068152","-76.91947904","(38.96068152, -76.91947904)","Bladensburg / East Riverdale"
"19-00021737","2019 Mar 07 10:41:13 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4750 CHERRY HILL RD",,,,"County Address"
"19-00021712","2019 Mar 07 10:19:19 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","808 NEWMONT ST","38.71974194","-76.99305377","(38.71974194, -76.99305377)","County Address"
"19-00021706","2019 Mar 07 10:10:18 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","14509 LIVINGSTON RD","38.68660912","-76.98364611","(38.68660912, -76.98364611)","County Address"
"19-00021681","2019 Mar 07 09:44:10 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9606 PISCATAWAY RD",,,,"County Address"
